"school_id","school_name","activity_name","alg","level_of_play","event_date","event_time","score","event_name","location","source_activity_url","matchup_link"
"26","Camdenton High School","Soccer Girls","34","Varsity","⤷ 5/2","","3 - 1","West Plains","tournament","https://www.mshsaa.org/MySchool/Schedule.aspx?s=26&alg=34","https://www.mshsaa.org/MySchool/Matchup.aspx?s=26&alg=34&comp=2751914"
"26","Camdenton High School","Soccer Girls","34","Varsity","⤷ 5/2","","0 - 4","Kirksville","tournament","https://www.mshsaa.org/MySchool/Schedule.aspx?s=26&alg=34","https://www.mshsaa.org/MySchool/Matchup.aspx?s=26&alg=34&comp=2751915"
"278","Eldon High School","Track and Field Boys","52","Varsity","5/2","","","Ladue Brusca-Strohbach Invitational","tournament","https://www.mshsaa.org/MySchool/Schedule.aspx?s=278&alg=52","https://www.mshsaa.org/MySchool/Tournament.aspx?s=278&alg=52&tournament=552631"
"917","Father Tolton","Baseball Spring Season","3","Varsity","5/2","","17 - 0","Cardinal Ritter","home","https://www.mshsaa.org/MySchool/Schedule.aspx?s=917&alg=3","https://www.mshsaa.org/MySchool/Matchup.aspx?s=917&alg=3&comp=2713582"
"917","Father Tolton","Baseball Spring Season","3","Varsity","5/2","","16 - 0","Cardinal Ritter","home","https://www.mshsaa.org/MySchool/Schedule.aspx?s=917&alg=3","https://www.mshsaa.org/MySchool/Matchup.aspx?s=917&alg=3&comp=2713583"
"294","Fayette High School","Baseball Spring Season","3","Varsity","5/2","","9 - 5","Jamestown","home","https://www.mshsaa.org/MySchool/Schedule.aspx?s=294&alg=3","https://www.mshsaa.org/MySchool/Matchup.aspx?s=294&alg=3&comp=2697433"
"294","Fayette High School","Baseball Spring Season","3","Varsity","5/2","","5 - 0","Slater","home","https://www.mshsaa.org/MySchool/Schedule.aspx?s=294&alg=3","https://www.mshsaa.org/MySchool/Matchup.aspx?s=294&alg=3&comp=2738339"
"80","Fulton High School","Tennis Boys","48","Varsity","5/2","","","MSHSAA Individual Districts","tournament","https://www.mshsaa.org/MySchool/Schedule.aspx?s=80&alg=48","https://www.mshsaa.org/MySchool/Tournament.aspx?s=80&alg=48&tournament=530461"
"302","Glasgow High School","Baseball Spring Season","3","Varsity","5/2","","0 - 4","New Franklin","away","https://www.mshsaa.org/MySchool/Schedule.aspx?s=302&alg=3","https://www.mshsaa.org/MySchool/Matchup.aspx?s=302&alg=3&comp=2731404"
"311","Hallsville High School","Baseball Spring Season","3","Varsity","5/2","","11 - 1","Harrisburg","home","https://www.mshsaa.org/MySchool/Schedule.aspx?s=311&alg=3","https://www.mshsaa.org/MySchool/Matchup.aspx?s=311&alg=3&comp=2569586"
"311","Hallsville High School","Baseball Spring Season","3","Varsity","5/2","","2 - 1","Pilot Grove","home","https://www.mshsaa.org/MySchool/Schedule.aspx?s=311&alg=3","https://www.mshsaa.org/MySchool/Matchup.aspx?s=311&alg=3&comp=2571875"
"313","Harrisburg High School","Baseball Spring Season","3","Varsity","5/2","","1 - 11","Hallsville","away","https://www.mshsaa.org/MySchool/Schedule.aspx?s=313&alg=3","https://www.mshsaa.org/MySchool/Matchup.aspx?s=313&alg=3&comp=2571359"
"313","Harrisburg High School","Baseball Spring Season","3","Varsity","5/2","","3 - 8","Pilot Grove","away","https://www.mshsaa.org/MySchool/Schedule.aspx?s=313&alg=3","https://www.mshsaa.org/MySchool/Matchup.aspx?s=313&alg=3&comp=2571959"
"522","Helias High School","Track and Field Boys","52","Varsity","5/2","","","Ladue Varsity","tournament","https://www.mshsaa.org/MySchool/Schedule.aspx?s=522&alg=52","https://www.mshsaa.org/MySchool/Tournament.aspx?s=522&alg=52&tournament=560608"
"522","Helias High School","Track and Field Girls","53","Varsity","5/2","","","Ladue Varsity","tournament","https://www.mshsaa.org/MySchool/Schedule.aspx?s=522&alg=53","https://www.mshsaa.org/MySchool/Tournament.aspx?s=522&alg=53&tournament=560912"
"85","Hickman High School","Baseball Spring Season","3","Varsity","5/2","","18 - 1","Oak Park","away","https://www.mshsaa.org/MySchool/Schedule.aspx?s=85&alg=3","https://www.mshsaa.org/MySchool/Matchup.aspx?s=85&alg=3&comp=2638281"
"84","Jefferson City High School","Track and Field Boys","52","Varsity","5/2","","","Ladue Horton Watkins","away","https://www.mshsaa.org/MySchool/Schedule.aspx?s=84&alg=52","https://www.mshsaa.org/MySchool/Matchup.aspx?s=84&alg=52&comp=2667180"
"84","Jefferson City High School","Track and Field Girls","53","Varsity","5/2","","","Ladue Horton Watkins","away","https://www.mshsaa.org/MySchool/Schedule.aspx?s=84&alg=53","https://www.mshsaa.org/MySchool/Matchup.aspx?s=84&alg=53&comp=2667180"
"152","Osage High School","Baseball Spring Season","3","Varsity","⤷ 5/2","","6 - 16","Pembroke Hill","tournament","https://www.mshsaa.org/MySchool/Schedule.aspx?s=152&alg=3","https://www.mshsaa.org/MySchool/Matchup.aspx?s=152&alg=3&comp=2743820"
"578","Rock Bridge High School","Baseball Spring Season","3","Varsity","5/2","","2 - 4","Staley","home","https://www.mshsaa.org/MySchool/Schedule.aspx?s=578&alg=3","https://www.mshsaa.org/MySchool/Matchup.aspx?s=578&alg=3&comp=2652708"
"578","Rock Bridge High School","Baseball Spring Season","3","Varsity","5/2","","1 - 7","Glendale","home","https://www.mshsaa.org/MySchool/Schedule.aspx?s=578&alg=3","https://www.mshsaa.org/MySchool/Matchup.aspx?s=578&alg=3&comp=2652878"
